year,month,monthly_teu,days_in_month,daily_teu
1995,1,946.36,31,30.52774194
1995,2,867.45,29,29.91206897
1995,3,969.54,31,31.27548387
1995,4,960.13,30,32.00433333
1995,5,988.27,31,31.87967742
1995,6,973.04,30,32.43466667
1995,7,1037.36,31,33.46322581
1995,8,1046.53,31,33.75903226
1995,9,977.47,30,32.58233333
1995,10,1047.89,31,33.80290323
1995,11,986.85,30,32.895
1995,12,1045.14,31,33.71419355
1996,1,1047.67,31,33.79580645
1996,2,958.42,29,33.04896552
1996,3,1021.53,31,32.95258065
1996,4,1040.96,30,34.69866667
1996,5,1093.59,31,35.27709677
1996,6,1073.73,30,35.791
1996,7,1143.93,31,36.90096774
1996,8,1128.48,31,36.40258065
1996,9,1085.66,30,36.18866667
1996,10,1137.66,31,36.69870968
1996,11,1098.74,30,36.62466667
1996,12,1114.11,31,35.93903226
1997,1,1105.2,31,35.6516129
1997,2,963.32,29,33.21793103
1997,3,1187.06,31,38.29225806
1997,4,1139.66,30,37.98866667
1997,5,1180.4,31,38.07741935
1997,6,1183.7,30,39.45666667
1997,7,1250.59,31,40.3416129
1997,8,1235.57,31,39.85709677
1997,9,1207.08,30,40.236
1997,10,1272.03,31,41.03322581
1997,11,1198.91,30,39.96366667
1997,12,1212.36,31,39.1083871
1998,1,1144.11,31,36.90677419
1998,2,1047.96,29,36.13655172
1998,3,1312.16,31,42.32774194
1998,4,1256.44,30,41.88133333
1998,5,1278.53,31,41.24290323
1998,6,1355.05,30,45.16833333
1998,7,1327.4,31,42.81935484
1998,8,1286.21,31,41.49064516
1998,9,1275.32,30,42.51066667
1998,10,1289.78,31,41.60580645
1998,11,1268.19,30,42.273
1998,12,1294.4,31,41.75483871
1999,1,1198.16,31,38.65032258
1999,2,1143.95,29,39.44655172
1999,3,1321.73,31,42.63645161
1999,4,1292.65,30,43.08833333
1999,5,1369.36,31,44.17290323
1999,6,1357.75,30,45.25833333
1999,7,1381.62,31,44.5683871
1999,8,1426.02,31,46.00064516
1999,9,1345.8,30,44.86
1999,10,1381.77,31,44.57322581
1999,11,1338.37,30,44.61233333
1999,12,1387.62,31,44.76193548
2000,1,1333.93,31,43.03
2000,2,1382.96,29,47.68827586
2000,3,1512.4,31,48.78709677
2000,4,1455.18,30,48.506
2000,5,1494.14,31,48.19806452
2000,6,1486.32,30,49.544
2000,7,1492.51,31,48.14548387
2000,8,1507.12,31,48.61677419
2000,9,1393.86,30,46.462
2000,10,1430.99,31,46.16096774
2000,11,1325.54,30,44.18466667
2000,12,1271.96,31,41.03096774
2001,1,1181.34,31,38.10774194
2001,2,1156.03,29,39.86310345
2001,3,1341.81,31,43.28419355
2001,4,1264.96,30,42.16533333
2001,5,1307.79,31,42.18677419
2001,6,1294.49,30,43.14966667
2001,7,1353.52,31,43.66193548
2001,8,1349.62,31,43.53612903
2001,9,1332.51,30,44.417
2001,10,1359.93,31,43.86870968
2001,11,1302.71,30,43.42366667
2001,12,1326.38,31,42.78645161
2002,1,1322.54,31,42.66258065
2002,2,1256.26,29,43.31931034
2002,3,1435.04,31,46.2916129
2002,4,1392.63,30,46.421
